time,motor,position,current
0.0976104,3,652,-72
0.127827,4,3521,0
0.159949,5,1969,-3
0.191783,6,3032,-4
0.224056,7,1977,0
0.25589,9,1566,0
0.287783,10,2351,0
0.319688,11,2854,0
0.352184,12,896,0
0.38372,13,2049,0
0.415671,14,1585,0
0.447718,15,1604,0
0.479604,16,1814,0
0.511732,17,956,0
0.543664,18,2020,0
0.575641,19,1873,0
0.607592,20,2208,0
0.639724,21,2080,0
0.6716,22,1219,0
0.703709,23,2075,0
0.735649,24,1599,0
0.767608,25,1730,0
0.816286,3,610,-8
0.847543,4,3522,2
0.879675,5,1967,0
0.91158,6,3029,0
0.94355,7,1978,0
0.97581,9,1566,0
1.00758,10,2352,0
1.03982,11,2854,0
1.07148,12,896,0
1.10347,13,2049,0
1.13544,14,1585,0
1.17241,15,1604,0
1.20275,16,1814,0
1.23166,17,955,0
1.26355,18,2020,0
1.29534,19,1873,0
1.3273,20,2208,0
1.35949,21,2080,0
1.39128,22,1219,0
1.42333,23,2075,0
1.45623,24,1599,0
1.48895,25,1730,0
1.53565,3,610,-22
1.56728,4,3523,9
1.59929,5,1968,0
1.63123,6,3031,-2
1.66333,7,1978,0
1.69522,9,1566,0
1.72724,10,2352,0
1.75927,11,2854,0
1.7913,12,896,0
1.8233,13,2049,0
1.85544,14,1585,0
1.88724,15,1604,0
1.91926,16,1814,0
1.9513,17,955,0
1.98312,18,2019,0
2.01517,19,1826,0
2.04715,20,2208,0
2.07915,21,2080,0
2.11108,22,1220,0
2.14312,23,2075,0
2.17505,24,1599,0
2.20702,25,1730,0
2.25605,3,609,-4
2.28701,4,3524,12
2.31902,5,1967,0
2.35101,6,3082,-2
2.38296,7,1977,1
2.41498,9,1566,0
2.44694,10,2353,0
2.47934,11,2855,0
2.51097,12,896,0
2.54293,13,2049,0
2.57492,14,1585,0
2.60694,15,1604,0
2.63883,16,1813,0
2.67105,17,955,0
2.70291,18,2017,0
2.735,19,1825,-1
2.76687,20,2208,0
2.79881,21,2080,0
2.83087,22,1220,0
2.86275,23,2075,0
2.8948,24,1599,0
2.9268,25,1730,0
2.97512,3,609,-5
3.00681,4,3525,5
3.03883,5,1968,0
3.07083,6,3078,2
3.10269,7,1928,-7
3.13473,9,1566,0
3.1667,10,2352,0
3.19869,11,2855,0
3.23063,12,896,0
3.26264,13,2049,0
3.29464,14,1585,0
3.32662,15,1604,0
3.3587,16,1813,0
3.39064,17,953,1
3.42261,18,2019,0
3.45485,19,1825,-9
3.48667,20,2208,0
3.51854,21,2080,0
3.55064,22,1220,0
3.58259,23,2075,0
3.61455,24,1599,0
3.64661,25,1730,0
3.69513,3,606,-90
3.72655,4,3526,0
3.75854,5,1969,-2
3.79047,6,3079,0
3.82252,7,1933,-14
3.85443,9,1566,0
3.88657,10,2351,0
3.9185,11,2854,0
3.95045,12,896,0
3.98251,13,2049,0
4.01445,14,1585,0
4.04644,15,1604,0
4.0784,16,1813,0
4.11033,17,954,0
4.14241,18,2020,-1
4.17439,19,1826,-2
4.20633,20,2208,0
4.23832,21,2080,0
4.27058,22,1220,0
4.3024,23,2075,0
4.33435,24,1599,0
4.36628,25,1730,0
4.41476,3,560,-8
4.44624,4,3527,0
4.47824,5,1968,0
4.5102,6,3078,0
4.54227,7,1933,-16
4.57426,9,1566,0
4.60628,10,2352,0
4.63832,11,2854,0
4.67024,12,896,0
4.70227,13,2049,0
4.73425,14,1585,0
4.76622,15,1604,0
4.7982,16,1813,0
4.83025,17,954,2
4.86219,18,2019,-1
4.89425,19,1776,-15
4.92617,20,2207,0
4.95813,21,2080,0
4.9901,22,1220,0
5.02216,23,2075,0
5.05411,24,1599,0
5.08623,25,1730,0
5.13447,3,561,-6
5.16603,4,3526,0
5.19802,5,1968,0
5.22997,6,3131,0
5.262,7,1933,-14
5.29398,9,1566,0
5.32592,10,2354,0
5.35797,11,2854,0
5.38998,12,896,0
5.42192,13,2049,0
5.4539,14,1585,0
5.48605,15,1604,0
5.51787,16,1813,0
5.54991,17,953,1
5.58192,18,2017,0
5.61388,19,1776,-8
5.64586,20,2208,0
5.67786,21,2080,0
5.70994,22,1219,0
5.74189,23,2075,0
5.77384,24,1599,0
5.80584,25,1730,0
5.85463,3,560,-5
5.88595,4,3527,0
5.91777,5,1968,0
5.94975,6,3127,5
5.98169,7,1912,-28
6.01375,9,1566,0
6.04591,10,2352,0
6.07784,11,2854,0
6.10968,12,896,0
6.14189,13,2049,0
6.17374,14,1585,0
6.20598,15,1604,0
6.23783,16,1813,0
6.26977,17,953,3
6.30173,18,2019,0
6.33364,19,1776,-10
6.36579,20,2208,0
6.39764,21,2080,0
6.42959,22,1220,0
6.46155,23,2075,0
6.49343,24,1599,0
6.52552,25,1731,0
6.57391,3,557,-112
6.60547,4,3528,0
6.63746,5,1969,-2
6.66946,6,3128,4
6.70158,7,1911,-25
6.73342,9,1566,0
6.76545,10,2351,0
6.79737,11,2854,-999
6.87292,12,896,0
6.90936,13,2049,0
6.9413,14,1585,0
6.97339,15,1604,0
7.00529,16,1813,0
7.03732,17,952,5
7.06939,18,2018,0
7.10137,19,1776,-10
7.13339,20,2208,0
7.16526,21,2080,0
7.19722,22,1220,0
7.22927,23,2075,0
7.2612,24,1599,0
7.29315,25,1730,0
7.34166,3,511,-15
7.37315,4,3527,0
7.40513,5,1968,0
7.43718,6,3127,4
7.46919,7,1911,-19
7.50133,9,1566,0
7.53315,10,2352,0
7.56514,11,2854,0
7.59704,12,896,0
7.62908,13,2050,0
7.66106,14,1585,0
7.69304,15,1604,0
7.72504,16,1813,0
7.75707,17,953,4
7.78904,18,2019,0
7.82106,19,1727,-41
7.85305,20,2207,0
7.88516,21,2080,0
7.91698,22,1219,0
7.94897,23,2075,0
7.98098,24,1599,0
8.01295,25,1730,0
8.06133,3,511,-8
8.09295,4,3527,0
8.12497,5,1967,0
8.157,6,3180,0
8.18895,7,1911,-13
8.22086,9,1566,0
8.25291,10,2353,0
8.28504,11,2855,0
8.31688,12,896,0
8.34888,13,2049,0
8.38082,14,1586,0
8.41286,15,1604,0
8.44483,16,1812,1
8.47675,17,953,4
8.50876,18,2017,0
8.54081,19,1726,-16
8.5728,20,2208,0
8.60483,21,2080,0
8.63685,22,1219,0
8.66899,23,2075,0
8.70087,24,1599,0
8.73279,25,1730,0
8.78113,3,507,-117
8.81273,4,3528,0
8.84468,5,1969,-5
8.87665,6,3177,7
8.90863,7,1911,-31
8.94067,9,1566,0
8.97269,10,2352,0
9.0046,11,2854,0
9.03659,12,896,0
9.0687,13,2049,0
9.10069,14,1585,0
9.13266,15,1604,0
9.16459,16,1812,3
9.1966,17,953,1
9.22864,18,2020,0
9.2606,19,1726,-12
9.29254,20,2208,0
9.32485,21,2080,0
9.35651,22,1220,0
9.38857,23,2075,0
9.42049,24,1599,0
9.45252,25,1730,0
9.50171,3,463,-25
9.53252,4,3528,0
9.56446,5,1968,0
9.59648,6,3177,6
9.62849,7,1911,-18
9.66044,9,1566,0
9.69238,10,2353,0
9.72466,11,2854,0
9.75644,12,896,0
9.78839,13,2049,0
9.82032,14,1585,0
9.85233,15,1604,0
9.88453,16,1812,1
9.91637,17,953,3
9.9483,18,2019,0
9.98031,19,1677,-24
10.0123,20,2208,0
10.0443,21,2080,0
10.0763,22,1220,0
10.1082,23,2075,0
10.1402,24,1599,0
10.1722,25,1730,0
10.2206,3,462,-24
10.2522,4,3527,0
10.2843,5,1968,0
10.3164,6,3228,4
10.3482,7,1911,-13
10.3802,9,1566,0
10.4122,10,2354,0
10.4443,11,2854,0
10.4762,12,896,0
10.5081,13,2049,0
10.5401,14,1585,0
10.572,15,1604,0
10.6041,16,1812,2
10.636,17,953,1
10.6681,18,2017,0
10.7002,19,1677,-21
10.732,20,2208,0
10.764,21,2080,0
10.796,22,1220,0
10.8281,23,2075,0
10.86,24,1599,0
10.892,25,1730,0
10.9406,3,459,-124
10.972,4,3528,0
11.004,5,1970,-4
11.036,6,3226,8
11.0681,7,1911,-17
11.1001,9,1566,0
11.1318,10,2352,0
11.1639,11,2854,0
11.1959,12,895,0
11.2279,13,2049,0
11.2598,14,1585,0
11.292,15,1604,0
11.3238,16,1812,2
11.3558,17,953,3
11.3878,18,2019,0
11.4198,19,1676,-8
11.452,20,2207,0
11.4837,21,2080,0
11.5159,22,1220,0
11.5477,23,2075,0
11.5798,24,1599,0
11.6117,25,1730,0
11.6603,3,414,-33
11.6917,4,3528,0
11.7238,5,1968,0
11.7558,6,3226,11
11.7879,7,1911,-16
11.8199,9,1566,0
11.8517,10,2353,0
11.8839,11,2854,0
11.9157,12,896,0
11.9478,13,2049,0
11.9797,14,1585,0
12.0118,15,1604,0
12.0437,16,1812,1
12.0756,17,953,5
12.1076,18,2019,0
12.1396,19,1627,-45
12.1717,20,2208,0
12.204,21,2080,0
12.2356,22,1220,0
12.2678,23,2075,0
12.2996,24,1599,0
12.3315,25,1730,0
12.3804,3,413,-30
12.4115,4,3527,0
12.4574,5,1968,0
12.4914,6,3276,10
12.5234,7,1911,-16
12.5555,9,1566,0
12.5874,10,2354,-1
12.6194,11,2854,0
12.6515,12,896,0
12.6837,13,2049,0
12.7154,14,1585,0
12.7474,15,1604,0
12.7795,16,1811,2
12.8114,17,953,0
12.8434,18,2017,0
12.8754,19,1627,-46
12.9074,20,2207,0
12.9393,21,2080,0
12.9714,22,1220,0
13.0034,23,2075,0
13.0353,24,1599,0
13.0673,25,1730,0
13.1164,3,408,-122
13.1472,4,3528,0
13.1793,5,1969,-3
13.2112,6,3276,12
13.2432,7,1911,-17
13.2752,9,1566,0
13.3072,10,2352,0
13.3391,11,2854,0
13.3712,12,895,0
13.4032,13,2050,0
13.4351,14,1585,0
13.4671,15,1604,0
13.4992,16,1811,2
13.5312,17,954,0
13.563,18,2019,0
13.595,19,1627,-25
13.627,20,2208,0
13.6591,21,2080,0
13.691,22,1220,0
13.723,23,2075,0
13.755,24,1599,0
13.787,25,1730,0
13.8354,3,365,-32
13.867,4,3529,0
13.8989,5,1968,0
13.9312,6,3276,13
13.963,7,1911,-17
13.995,9,1566,0
14.0269,10,2354,-2
14.059,11,2854,0
14.0909,12,896,0
14.1229,13,2049,0
