time,motor,position,current
0.112284,3,359,-6
0.143798,4,3524,10
0.17578,5,2030,2
0.207789,6,3399,30
0.239774,7,1908,0
0.271732,8,2652,0
0.303689,9,1617,-2
0.335724,10,2280,2
0.367698,11,2874,0
0.40007,12,1045,0
0.431594,13,2046,0
0.463628,14,1583,0
0.495557,15,1766,0
0.527533,16,1814,17
0.559565,17,959,8
0.591574,18,1986,0
0.623518,19,1556,-41
0.655431,20,2142,0
0.687497,21,2085,5
0.719473,22,1326,-10
0.751357,23,2075,0
0.783429,24,1599,-3
0.815335,25,1801,4
1.03956,3,281,-23
1.07118,4,3528,0
1.10317,5,2031,0
1.13535,6,3462,21
1.16749,7,1911,-13
1.19921,8,2647,19
1.23144,9,1616,0
1.26307,10,2285,-13
1.29519,11,2873,3
1.32714,12,1052,0
1.35902,13,2045,1
1.39106,14,1585,0
1.42304,15,1766,0
1.45495,16,1814,22
1.48698,17,963,0
1.51898,18,1985,0
1.55096,19,1555,-46
1.58286,20,2144,-8
1.61493,21,2085,5
1.64691,22,1325,-5
1.67889,23,2074,0
1.71088,24,1598,0
1.74309,25,1804,-3
1.83935,3,281,-25
1.87076,4,3528,0
1.9027,5,2030,-999
1.9775,6,3462,21
2.03174,7,1911,-13
2.06244,8,2647,19
2.09438,9,1616,-1
2.12641,10,2285,-9
2.1584,11,2873,5
2.1904,12,1053,-1
2.22243,13,2044,5
2.25443,14,1585,0
2.28632,15,1766,0
2.31836,16,1825,133
2.35037,17,962,15
2.3823,18,2020,14
2.41411,19,1556,-46
2.44612,20,2144,-9
2.47816,21,2086,2
2.51007,22,1325,-6
2.54211,23,2075,0
2.5741,24,1598,0
2.6061,25,1804,0
2.70238,3,281,-24
2.734,4,3528,0
2.766,5,2031,1
2.79805,6,3462,21
2.83,7,1911,-12
2.86194,8,2647,19
2.89401,9,1616,0
2.92594,10,2285,-8
2.95793,11,2873,3
2.98996,12,1053,-6
3.02184,13,2044,6
3.05389,14,1585,0
3.08592,15,1766,0
3.11794,16,1827,109
3.14987,17,962,16
3.18191,18,2020,15
3.21385,19,1555,-24
3.24581,20,2144,-10
3.27783,21,2085,4
3.30984,22,1325,-8
3.34182,23,2074,0
3.37383,24,1598,0
3.40583,25,1804,-2
3.50212,3,281,-24
3.53377,4,3529,0
3.56576,5,2031,1
3.5978,6,3462,22
3.62973,7,1911,-14
3.66172,8,2647,18
3.69367,9,1616,0
3.72574,10,2285,-7
3.75772,11,2873,4
3.78966,12,1054,-7
3.82165,13,2043,4
3.85366,14,1585,0
3.88555,15,1766,0
3.91764,16,1828,112
3.94961,17,962,18
3.98162,18,2020,15
4.01359,19,1556,-45
4.04553,20,2144,-9
4.07757,21,2086,5
4.1095,22,1325,-7
4.14154,23,2074,0
4.17356,24,1598,0
4.20551,25,1804,0
4.30198,3,281,-25
4.33348,4,3528,0
4.36544,5,2031,2
4.3974,6,3462,22
4.42934,7,1911,-13
4.4614,8,2647,19
4.49341,9,1616,0
4.52539,10,2285,-7
4.5575,11,2873,4
4.58939,12,1054,-8
4.62138,13,2044,4
4.6533,14,1585,0
4.6853,15,1766,0
4.71728,16,1827,110
4.74926,17,962,17
4.78127,18,2020,15
4.81328,19,1556,-45
4.84519,20,2144,-10
4.87725,21,2085,4
4.90928,22,1325,-7
4.94132,23,2074,0
4.97324,24,1598,0
5.0052,25,1804,0
5.10163,3,281,-25
5.13319,4,3528,0
5.16518,5,2030,2
5.19714,6,3462,21
5.22916,7,1911,-15
5.26112,8,2647,19
5.29319,9,1616,0
5.32512,10,2285,-8
5.35708,11,2873,4
5.38909,12,1054,-7
5.42109,13,2044,5
5.45305,14,1585,0
5.48509,15,1766,0
5.51704,16,1828,111
5.54905,17,962,18
5.581,18,2020,18
5.61302,19,1556,-45
5.64498,20,2144,-9
5.67693,21,2085,1
5.70893,22,1325,-7
5.74096,23,2074,0
5.77294,24,1598,0
5.80492,25,1804,-1
5.9013,3,281,-25
5.93294,4,3528,0
