time,motor,position,current
0.187899,3,281,-16
0.219136,4,3529,0
0.251052,5,2055,0
0.283123,6,3461,29
0.315097,7,1911,-11
0.347073,8,2646,22
0.379007,9,1481,3
0.411015,10,2208,-14
0.443083,11,2845,-11
0.475035,12,1687,-10
0.507098,13,2050,0
0.539058,14,1998,0
0.571042,15,1896,10
0.603033,16,1837,39
0.63503,17,970,-7
0.666979,18,2021,6
0.699035,19,1556,-19
0.731044,20,2052,-21
0.763,21,2036,18
0.79494,22,1987,-10
0.826969,23,2067,0
0.858952,24,2036,-1
0.890959,25,2021,2
1.01983,3,281,-17
1.05105,4,3529,-1
1.08307,5,2052,0
1.11503,6,3461,29
1.14685,7,1912,-14
1.17891,8,2646,23
1.21085,9,1483,0
1.24319,10,2211,-6
1.27477,11,2846,-27
1.30724,12,1679,21
1.33877,13,2048,2
1.37079,14,1995,12
1.40278,15,1896,13
1.43474,16,1837,39
1.46679,17,970,-9
1.49872,18,2024,0
1.53079,19,1556,-38
1.56282,20,2050,-7
1.59517,21,2036,15
1.62708,22,1986,-5
1.65881,23,2064,3
1.69084,24,2030,21
1.72284,25,2018,12
1.94708,3,281,-19
1.98933,4,3529,0
2.02657,5,2055,0
2.05853,6,3461,29
2.09053,7,1912,-25
2.12252,8,2646,22
2.15451,9,1483,-1
2.18651,10,2209,0
2.21848,11,2845,-25
2.25049,12,1687,-1
2.28242,13,2046,5
2.3144,14,1991,33
2.34641,15,1896,15
2.37841,16,1838,26
2.41038,17,963,18
2.44229,18,2023,0
2.47433,19,1556,-12
2.50624,20,2049,-5
2.53834,21,2037,13
2.57033,22,1986,-3
2.6023,23,2063,5
2.63423,24,2029,18
2.66631,25,2018,16
2.82667,3,281,-24
2.85822,4,3530,-2
2.89019,5,2051,9
2.92214,6,3461,30
2.95415,7,1912,-22
2.98613,8,2646,22
3.01813,9,1480,6
3.05012,10,2206,8
3.08206,11,2847,-27
3.11406,12,1668,25
3.14603,13,2045,17
3.17801,14,1999,0
3.21002,15,1896,13
3.24198,16,1839,22
3.27397,17,964,9
3.30597,18,2022,0
3.33798,19,1556,-23
3.36993,20,2050,-7
3.40187,21,2037,13
3.43391,22,1981,11
3.46591,23,2063,9
3.49796,24,2036,-7
3.52993,25,2024,0
3.69032,3,281,-21
3.72185,4,3530,-3
3.75386,5,2051,8
3.78582,6,3461,29
3.81775,7,1912,-19
3.84981,8,2646,24
3.88175,9,1480,4
3.91382,10,2209,0
3.94579,11,2847,-28
3.97778,12,1669,23
4.00977,13,2044,19
4.04166,14,1999,0
4.07376,15,1896,14
4.10572,16,1838,31
4.13774,17,964,8
4.16973,18,2022,4
4.20172,19,1555,-29
4.23364,20,2050,-8
4.26571,21,2037,13
4.29764,22,1981,13
4.32967,23,2063,5
4.36167,24,2036,-4
4.39355,25,2020,8
4.42631,3,281,-21
4.45763,4,3530,-1
4.48961,5,2051,7
4.52157,6,3461,30
4.55364,7,1912,-22
4.58561,8,2645,25
4.61759,9,1480,5
4.64985,10,2207,6
4.68178,11,2847,-26
4.71355,12,1668,24
4.74556,13,2045,17
4.77764,14,1999,0
4.8096,15,1896,14
4.84156,16,1839,27
4.87362,17,964,8
4.90562,18,2021,1
4.93754,19,1556,-22
4.96954,20,2049,-6
5.00151,21,2037,13
5.03344,22,1982,10
5.06544,23,2064,5
5.09742,24,2037,-11
5.1294,25,2024,0
5.16241,3,281,-22
5.19333,4,3530,-2
5.22577,5,2051,9
5.25763,6,3461,30
5.28968,7,1912,-28
5.32137,8,2645,28
5.35333,9,1480,5
5.38537,10,2207,3
5.41733,11,2847,-27
5.44922,12,1668,26
5.48127,13,2045,18
5.51329,14,1999,-1
5.54526,15,1896,14
5.57725,16,1838,29
5.60933,17,965,8
5.64125,18,2022,4
5.68929,19,1556,-18
5.72101,20,2050,-5
5.75314,21,2037,13
5.78517,22,1982,8
5.81712,23,2064,5
5.84909,24,2037,-4
5.88112,25,2020,6
5.9138,3,281,-21
5.94511,4,3530,-3
5.97703,5,2051,10
6.00908,6,3461,30
6.04105,7,1912,-24
6.07302,8,2646,23
6.10502,9,1480,5
6.13702,10,2207,6
6.16902,11,2847,-27
6.20096,12,1668,23
6.23293,13,2045,18
6.26494,14,1999,0
6.29693,15,1896,14
6.3289,16,1838,31
6.36094,17,964,8
6.3929,18,2021,3
6.42491,19,1556,-40
6.45694,20,2049,-7
6.4889,21,2037,17
6.52091,22,1982,9
6.55287,23,2064,6
6.5849,24,2036,-11
6.61674,25,2023,0
6.64974,3,281,-22
6.68081,4,3530,0
6.71283,5,2051,12
6.74484,6,3461,30
6.77677,7,1912,-26
6.80881,8,2646,27
6.84077,9,1480,5
6.8728,10,2207,6
6.90474,11,2847,-28
6.93676,12,1668,26
6.9687,13,2044,17
7.00073,14,1999,-1
7.03272,15,1896,14
7.06472,16,1838,32
7.09672,17,965,8
7.12869,18,2021,3
7.1607,19,1555,-40
7.19262,20,2050,-3
7.22458,21,2037,13
7.2566,22,1982,9
7.28858,23,2064,4
7.32058,24,2037,-7
7.35256,25,2020,5
